Problem,Final Score,Individual Scores
0,6.0,"7.0, 5.0, 3.0, 9.0, 6.0"
1,7.75,"8.0, 8.0, 6.0, 9.0, 7.75"
2,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
3,8.25,"9.0, 8.0, 7.0, 9.0, 8.25"
4,5.0,"7.0, 4.0, 3.0, 6.0, 5.0"
5,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
6,6.75,"7.0, 5.0, 7.0, 8.0, 6.75"
7,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
8,7.25,"7.0, 7.0, 7.0, 8.0, 7.25"
9,6.75,"8.0, 6.0, 4.0, 9.0, 6.75"
10,8.120000000000001,"8.0, 7.0, 8.5, 9.0, 8.1"
11,7.75,"8.0, 7.0, 9.0, 7.0, 7.75"
12,6.5,"8.0, 6.0, 5.0, 7.0, 6.5"
13,5.25,"6.0, 5.0, 4.0, 6.0, 5.25"
14,7.25,"8.0, 7.0, 6.0, 8.0, 7.25"
15,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
16,7.25,"8.0, 7.0, 6.0, 8.0, 7.25"
17,6.25,"7.0, 6.0, 4.0, 8.0, 6.25"
18,7.0,"8.0, 6.0, 7.0, 7.0, 7.0"
19,7.375,"7.0, 5.0, 6.0, 8.0, 6.5, 8.0, 7.0, 9.0, 9.0, 8.25"
30,4.5,"5.0, 4.0, 2.0, 7.0, 4.5"
31,6.5,"7.0, 7.0, 7.0, 5.0, 6.5"
32,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
33,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
34,4.75,"7.0, 4.0, 2.0, 6.0, 4.75"
35,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
36,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
37,7.5,"8.0, 6.0, 7.0, 9.0, 7.5"
38,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
39,8.25,"8.0, 7.0, 9.0, 9.0, 8.25"
40,5.0,"7.0, 3.0, 2.0, 8.0, 5.0"
41,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
42,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
43,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
44,7.75,"7.0, 8.0, 7.0, 9.0, 7.75"
45,6.5,"8.0, 5.0, 4.0, 9.0, 6.5"
46,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
47,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
48,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
49,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
50,4.75,"6.0, 4.0, 3.0, 6.0, 4.75"
51,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
52,7.0,"7.0, 6.0, 6.0, 9.0, 7.0"
53,5.5,"6.0, 5.0, 4.0, 7.0, 5.5"
54,5.5,"7.0, 4.0, 3.0, 8.0, 5.5"
55,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
56,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
57,7.75,"8.0, 7.0, 9.0, 7.0, 7.75"
58,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
59,7.0,"8.0, 6.0, 5.0, 9.0, 7.0"
60,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
