Problem,Final Score,Individual Scores
1,6.0,"7.0, 5.0, 3.0, 9.0, 6.0"
2,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
3,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
4,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
5,6.0,"7.0, 6.0, 5.0, 6.0, 6.0"
6,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
7,6.6,"7.0, 6.0, 6.0, 8.0, 6.0"
8,6.2,"7.0, 6.0, 5.0, 7.0, 6.0"
9,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
10,5.0,"6.0, 4.0, 3.0, 7.0, 5.0"
11,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
12,7.0,"7.0, 6.0, 6.0, 9.0, 7.0"
13,7.6,"9.0, 7.0, 6.0, 9.0, 7.0"
14,6.4,"7.0, 6.0, 5.0, 8.0, 6.0"
15,6.0,"7.0, 6.0, 5.0, 6.0, 6.0"
16,5.4,"8.0, 4.0, 3.0, 7.0, 5.0"
17,7.0,"8.0, 7.0, 6.0, 7.0, 7.0"
18,6.4,"7.0, 6.0, 5.0, 8.0, 6.0"
19,7.2,"8.0, 7.0, 6.0, 8.0, 7.0"
20,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
21,7.0,"7.0, 7.0, 6.0, 8.0, 7.0"
22,6.4,"8.0, 7.0, 6.0, 5.0, 6.0"
23,7.4,"8.0, 7.0, 9.0, 6.0, 7.0"
24,7.0,"8.0, 6.0, 7.0, 7.0, 7.0"
25,5.6,"8.0, 3.0, 3.0, 9.0, 5.0"
26,6.4,"8.0, 6.0, 7.0, 5.0, 6.0"
27,6.4,"8.0, 6.0, 5.0, 7.0, 6.0"
28,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
29,7.4,"7.0, 8.0, 7.0, 8.0, 7.0"
30,7.2,"8.0, 8.0, 7.0, 6.0, 7.0"
31,5.6,"7.0, 5.0, 3.0, 8.0, 5.0"
32,6.4,"7.0, 6.0, 5.0, 8.0, 6.0"
33,7.4,"8.0, 7.0, 6.0, 9.0, 7.0"
34,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
35,7.4,"7.0, 6.0, 8.0, 9.0, 7.0"
36,6.0,"7.0, 6.0, 5.0, 6.0, 6.0"
37,5.0,"7.0, 3.0, 2.0, 8.0, 5.0"
38,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
39,7.2,"7.0, 8.0, 5.0, 9.0, 7.0"
40,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
41,5.4,"8.0, 3.0, 2.0, 9.0, 5.0"
42,7.2,"8.0, 7.0, 5.0, 9.0, 7.0"
43,7.4,"7.0, 8.0, 6.0, 9.0, 7.0"
44,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
45,6.4,"8.0, 6.0, 3.0, 9.0, 6.0"
46,7.2,"8.0, 7.0, 5.0, 9.0, 7.0"
47,6.4,"7.0, 6.0, 5.0, 8.0, 6.0"
48,6.6,"7.0, 6.0, 6.0, 8.0, 6.0"
49,6.2,"8.0, 6.0, 6.0, 5.0, 6.0"
50,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
51,7.4,"8.0, 7.0, 6.0, 9.0, 7.0"
52,6.6,"7.0, 6.0, 5.0, 9.0, 6.0"
53,7.4,"7.0, 8.0, 6.0, 9.0, 7.0"
54,6.4,"7.0, 6.0, 5.0, 8.0, 6.0"
55,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
56,7.0,"7.0, 7.0, 5.0, 9.0, 7.0"
57,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
58,6.6,"7.0, 6.0, 6.0, 8.0, 6.0"
59,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
60,6.4,"7.0, 6.0, 5.0, 8.0, 6.0"
61,7.6,"8.0, 7.0, 7.0, 9.0, 7.0"
