Problem,Final Score,Individual Scores
0,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
1,7.5,"8.0, 6.0, 7.0, 9.0, 7.5"
2,7.5,"8.0, 6.0, 7.0, 9.0, 7.5"
3,6.5,"7.0, 6.0, 6.0, 7.0, 6.5"
4,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
5,7.0,"8.0, 6.0, 7.0, 7.0, 7.0"
6,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
7,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
8,8.0,"8.0, 7.0, 9.0, 8.0, 8.0"
9,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
10,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
11,6.5,"7.0, 6.0, 5.0, 8.0, 6.5"
12,7.5,"8.0, 7.0, 6.0, 9.0, 7.5"
13,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
14,7.5,"7.0, 8.0, 6.0, 9.0, 7.5"
15,6.5,"7.0, 6.0, 4.0, 9.0, 6.5"
16,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
17,5.75,"7.0, 5.0, 3.0, 8.0, 5.75"
18,6.25,"7.0, 6.0, 7.0, 5.0, 6.25"
19,8.25,"8.0, 7.0, 9.0, 9.0, 8.25"
20,7.0,"8.0, 7.0, 7.0, 6.0, 7.0"
21,7.0,"8.0, 7.0, 7.0, 6.0, 7.0"
22,8.25,"9.0, 8.0, 9.0, 7.0, 8.25"
23,6.75,"7.0, 6.0, 5.0, 9.0, 6.75"
24,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
25,7.75,"8.0, 7.0, 9.0, 7.0, 7.75"
26,6.0,"7.0, 5.0, 4.0, 8.0, 6.0"
27,6.25,"7.0, 7.0, 5.0, 6.0, 6.25"
28,8.25,"8.0, 7.0, 9.0, 9.0, 8.25"
29,6.75,"8.0, 6.0, 5.0, 8.0, 6.75"
30,7.25,"8.0, 7.0, 5.0, 9.0, 7.25"
31,7.0,"8.0, 7.0, 7.0, 6.0, 7.0"
32,7.5,"7.0, 8.0, 6.0, 9.0, 7.5"
33,8.0,"8.0, 7.0, 9.0, 8.0, 8.0"
34,6.5,"7.0, 5.0, 6.0, 8.0, 6.5"
35,6.25,"7.0, 6.0, 3.0, 9.0, 6.25"
36,5.25,"6.0, 5.0, 3.0, 7.0, 5.25"
37,6.75,"7.0, 7.0, 5.0, 8.0, 6.75"
38,7.0,"7.0, 7.0, 8.0, 6.0, 7.0"
39,8.0,"8.0, 7.0, 8.0, 9.0, 8.0"
40,6.0,"8.0, 4.0, 3.0, 9.0, 6.0"
42,6.75,"7.0, 6.0, 6.0, 8.0, 6.75"
43,7.25,"7.0, 6.0, 8.0, 8.0, 7.25"
44,6.75,"8.0, 6.0, 6.0, 7.0, 6.75"
45,5.75,"7.0, 5.0, 3.0, 8.0, 5.75"
46,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
47,8.0,"8.0, 7.0, 9.0, 8.0, 8.0"
48,7.25,"7.0, 8.0, 6.0, 8.0, 7.25"
49,7.5,"8.0, 7.0, 6.0, 9.0, 7.5"
50,7.75,"8.0, 7.0, 7.0, 9.0, 7.75"
51,7.0,"7.0, 7.0, 6.0, 8.0, 7.0"
52,7.0,"7.0, 6.0, 7.0, 8.0, 7.0"
53,5.25,"7.0, 5.0, 4.0, 5.0, 5.25"
54,7.0,"8.0, 6.0, 7.0, 7.0, 7.0"
55,5.75,"6.0, 5.0, 4.0, 8.0, 5.75"
56,6.5,"8.0, 6.0, 5.0, 7.0, 6.5"
57,7.75,"8.0, 7.0, 9.0, 7.0, 7.75"
58,7.5,"8.0, 7.0, 7.0, 8.0, 7.5"
59,7.25,"8.0, 7.0, 5.0, 9.0, 7.25"
60,6.25,"7.0, 5.0, 4.0, 9.0, 6.25"
